Sales,CompPrice,Income,Advertising,Population,Price,ShelveLocBad,ShelveLocGood,ShelveLocMedium,Age,Education,Urban,US
7.4,-0.49352920019464397,1.1172318144926416,-0.37905745294506926,1.3407948029125416,-0.8117235318315192,0.0,0.0,1.0,0.10215117458541143,0.06751085513710493,1.0,1.0
13.91,-0.9460488106883,1.4687007297872203,-0.9832835298687163,0.9406669502272431,-2.042773437926714,0.0,1.0,0.0,-0.4456987002860684,1.2248398003446133,0.0,1.0
4.1,-0.23494656562684052,0.34400020084456867,-0.37905745294506926,0.9751607306311482,0.5891263613112887,1.0,0.0,0.0,-0.4456987002860684,-1.4755944051395729,0.0,1.0
9.16,0.7993839726443732,1.292966272139931,0.5272816624404013,1.1269333644083304,1.6928262771207738,0.0,1.0,0.0,1.1369787160093179,0.06751085513710493,1.0,1.0
7.22,0.6700926553604716,0.8712035737864366,-0.6811704914068928,-1.4118088733190814,0.12217639693035273,0.0,0.0,1.0,-1.1761652001147083,-1.0898180900704033,1.0,1.0
8.47,-0.36423788291074227,0.6954691161391473,0.5272816624404013,-0.7012369969986374,-0.6419235447839061,0.0,0.0,1.0,0.46738442449973133,-0.3182654599320645,1.0,1.0
5.36,-0.8814031520463491,-0.5698189789213358,-0.9832835298687163,-1.791240457762037,-0.6419235447839061,0.0,0.0,1.0,0.46738442449973133,-1.0898180900704033,1.0,1.0
7.41,-1.6571510557497595,0.8712035737864366,-0.9832835298687163,-0.5080718267367691,-1.2362234994505519,0.0,0.0,1.0,0.22389559122351807,0.8390634852754438,1.0,1.0
3.47,-1.1399857866141525,0.37914709237402655,-0.6811704914068928,1.492567436689724,-0.5570235512600996,1.0,0.0,0.0,0.7108732577759446,0.8390634852754438,1.0,0.0
5.33,-0.6228205174785457,-1.6242257248050718,-0.9832835298687163,1.513263704932067,-0.5570235512600996,0.0,0.0,1.0,0.6500010494568913,-1.0898180900704033,0.0,0.0
8.65,-0.10565524834293881,0.2737064177856529,1.7357338162876954,-0.37009670512114895,0.164626393692256,0.0,0.0,1.0,-1.4805262417099747,0.06751085513710493,0.0,1.0
6.18,-0.2995922242687914,0.06282506860890573,1.2825642585949601,1.3269972907509797,-0.25987357392677674,0.0,0.0,1.0,1.1369787160093179,0.45328717020627435,1.0,1.0
7.57,-0.8167574934043983,0.6954691161391473,-0.6811704914068928,-0.19762780310162367,-0.7268235383077127,0.0,0.0,1.0,0.5282566328187847,-1.0898180900704033,1.0,1.0
10.59,0.4115100207926681,1.820169645081799,1.2825642585949601,-0.06655143756678447,0.3344263807398691,0.0,0.0,1.0,-1.4196540333909213,-1.4755944051395729,1.0,1.0
4.94,0.7993839726443732,1.5389945128461362,1.2825642585949601,1.1200346083275494,1.3956762997874508,1.0,0.0,0.0,0.7717454660949978,-0.3182654599320645,1.0,1.0
7.72,0.5408013380765698,-1.2376099179810354,0.5272816624404013,0.42326024416866725,0.5466763645493854,0.0,1.0,0.0,1.0761065076902645,0.06751085513710493,1.0,1.0
